Count,Yr,Sex,Platoon,A1,A2,L_a_A1,L_a_A2,K,A_a_L0,Linf,CVmin,CVmax,natM_amin,natM_max,M_age0,M_nages,WtLen1,WtLen2,Mat1,Mat2,Fec1,Fec2
40,65,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.45E-06,3.18851,4.8832,-0.9654,1,0
41,66,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.44E-06,3.18851,4.8832,-0.9654,1,0
42,67,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.29E-06,3.18851,4.8832,-0.9654,1,0
43,68,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.34E-06,3.18851,4.8832,-0.9654,1,0
44,69,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.42E-06,3.18851,4.8832,-0.9654,1,0
45,70,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.75E-06,3.18851,4.8832,-0.9654,1,0
46,71,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.84E-06,3.18851,4.8832,-0.9654,1,0
47,72,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.76E-06,3.18851,4.8832,-0.9654,1,0
48,73,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.64E-06,3.18851,4.8832,-0.9654,1,0
49,74,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.57E-06,3.18851,4.8832,-0.9654,1,0
50,75,1,1,0,999,3,117.9,0.16,-0.161091,117.9,0.1,0.1,0,0,0.36,0.36,5.63E-06,3.18851,4.8832,-0.9654,1,0
